"Name","training_start_time","num_transformations","num_replacements","out_of_style_prob","State","Notes","User","Tags","Created","Runtime","augmentation_seed","batch_size","d_model","dataset_processed_time","dim_forward","dropout","epochs","grad_clip","hit_sigmoid_in_forward","learning_rate","loss_penalty","n_heads","n_layers","seed_examples_sets","test_data_size","torch_seed","training_data_size","epoch","grad_norm","hit_accuracy","hits_loss","offsets_loss","test_loss","training_loss","training_sample","velocities_loss"
"cardassian-manoeuvre-114","1712422088","3","1","0","finished","-","","","2024-04-06T16:48:08.000Z","4596","42","16","128","1712422015","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","66732","50","3.532538890838623","0.8890758752822876","1.0347189903259275","0.023682620376348495","3.639460409604586","1.269913673400879","65536","0.2115120589733124"
"vulcan-q-113","1712419794","2","2","0.25","finished","-","","","2024-04-06T16:09:55.000Z","3414","42","16","128","1712419738","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","49639","50","2.4541049003601074","0.886833906173706","0.43536490201950073","0.008982246741652489","3.656695343897893","0.5108945965766907","49152","0.0665474683046341"
"changeling-space-112","1712417466","3","1","1","finished","-","","","2024-04-06T15:31:06.000Z","4548","42","16","128","1712417392","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","66132","50","1.444267749786377","0.898879885673523","0.5610748529434204","0.015886086970567703","3.5941600707861094","0.6377999186515808","65536","0.060839004814624786"
"empathic-manoeuvre-111","1712415249","3","1","0.25","finished","-","","","2024-04-06T14:54:10.000Z","4487","42","16","128","1712415177","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","65773","50","3.8016982078552246","0.8923160433769226","1.1338768005371094","0.030794955790042877","3.624898936198308","1.3355913162231443","65536","0.1709195375442505"
"emissary-first-contact-110","1712413027","1","4","0.25","finished","-","","","2024-04-06T14:17:08.000Z","2148","42","16","128","1712412986","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","33431","50","0.7819889187812805","0.8412493467330933","0.11980749666690826","0.003836203832179308","3.9456855975664578","0.1399230808019638","32768","0.01627938821911812"
"prime-queen-109","1712412958","3","2","0.5","finished","-","","","2024-04-06T14:15:59.000Z","4432","42","16","128","1712412883","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","65934","50","2.3136494159698486","0.8817408084869385","0.44593608379364014","0.010490238666534424","3.681249027985793","0.5333703756332397","65536","0.0769440308213234"
"pretty-capybara-107","1711277715","2","4","1","finished","-","","","2024-03-24T10:55:16.000Z","3413","42","16","128","1711277647","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","0.9263069033622742","0.9367132186889648","0.08129354566335678","0.00028153153834864497","3.4534267119872264","0.09146345406770706","49152","0.00988837145268917"
"worthy-elevator-106","1711274263","2","4","0.5","finished","-","","","2024-03-24T09:57:44.000Z","3382","42","16","128","1711274195","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","0.4027654826641083","0.9384526610374452","0.029130663722753525","0.00015183541108854115","3.4416449247262415","0.03260650485754013","49152","0.0033240069169551134"
"mild-frog-105","1711270825","2","4","0","finished","-","","","2024-03-24T09:00:25.000Z","3369","42","16","128","1711270761","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","0.01887546293437481","0.9370036721229552","0.0006926509086042643","0.00018328550504520535","3.4515429123854027","0.001101178117096424","49152","0.0002252417034469545"
"trim-moon-104","1711268219","1","4","1","finished","-","","","2024-03-24T08:16:59.000Z","2401","42","16","128","1711268175","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","0.03823193162679672","0.9069069027900696","0.0021158549934625626","0.00032918687793426216","3.623527487424704","0.003026503138244152","32768","0.0005814612377434969"
"major-water-103","1711267175","2","2","1","finished","-","","","2024-03-24T07:59:35.000Z","3585","42","16","128","1711267110","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","2.004277229309082","0.9105207324028016","0.490224689245224","0.00940836314111948","3.536788415297484","0.5907142758369446","49152","0.09108123928308488"
"crisp-river-102","1711265770","1","4","0.5","finished","-","","","2024-03-24T07:36:10.000Z","2404","42","16","128","1711265727","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","0.31492912769317627","0.9066756963729858","0.02969999611377716","0.0004434506117831915","3.623712534170884","0.03438803553581238","32768","0.004244590178132057"
"comic-thunder-101","1711263534","2","2","0.5","finished","-","","","2024-03-24T06:58:55.000Z","3574","42","16","128","1711263471","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","3.1369874477386475","0.912976324558258","0.5694454908370972","0.01264642272144556","3.5196620568251","0.677379846572876","49152","0.09528789669275284"
"ethereal-breeze-100","1711263321","1","4","0","finished","-","","","2024-03-24T06:55:21.000Z","2404","42","16","128","1711263278","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","0.09716706722974776","0.9084935784339904","0.0035221436992287636","0.0002614989934954792","3.616592070689568","0.004984092433005571","32768","0.0012004498858004808"
"good-star-99","1711260867","1","2","1","finished","-","","","2024-03-24T06:14:28.000Z","2409","42","16","128","1711260826","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","3.651013612747192","0.9037084579467772","0.854668378829956","0.013345088809728622","3.5716307722605194","1.05019211769104","32768","0.18217861652374268"
"woven-sun-98","1711259867","2","2","0","finished","-","","","2024-03-24T05:57:48.000Z","3602","42","16","128","1711259594","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","2.73616623878479","0.9160968661308287","0.5261698365211487","0.013063696213066578","3.510422051869906","0.6432503461837769","49152","0.10401683300733566"
"hearty-blaze-97","1711258336","1","2","0.5","finished","-","","","2024-03-24T05:32:16.000Z","2489","42","16","128","1711258234","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","2.66528058052063","0.9048193693161012","0.7716728448867798","0.01130334660410881","3.5661960060779867","0.9331768751144408","32768","0.15020066499710083"
"quiet-morning-96","1711256009","2","1","1","finished","-","","","2024-03-24T04:53:30.000Z","3583","42","16","128","1711255785","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","3.070042371749878","0.9027655124664308","0.7874339818954468","0.021799638867378235","3.5711077109361304","0.9586846232414246","49152","0.14945103228092194"
"golden-sponge-95","1711255806","1","2","0","finished","-","","","2024-03-24T04:50:06.000Z","2427","42","16","128","1711255764","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","2.3477089405059814","0.9024865031242372","0.8353866338729858","0.012153702788054945","3.571736804338602","1.0085055828094482","32768","0.1609652042388916"
"dazzling-night-94","1711253355","1","1","1","finished","-","","","2024-03-24T04:09:16.000Z","2407","42","16","128","1711253315","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","2.530625343322754","0.8926073312759399","1.1166317462921145","0.018874868750572205","3.612757691970238","1.3670235872268677","32768","0.23151692748069763"
"stilted-sponge-93","1711252191","2","1","0.5","finished","-","","","2024-03-24T03:49:52.000Z","3592","42","16","128","1711252065","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","3.180258274078369","0.8995921611785889","0.7510905861854553","0.02044481597840786","3.58620922932258","0.9259077906608582","49152","0.15437239408493042"
"polar-puddle-92","1711250921","1","1","0.5","finished","-","","","2024-03-24T03:28:41.000Z","2393","42","16","128","1711250881","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","2.316902875900269","0.8923001885414124","1.0694096088409424","0.01480636652559042","3.615079309390141","1.3076329231262207","32768","0.22341695427894592"
"ruby-donkey-91","1711248692","2","1","0","finished","-","","","2024-03-24T02:51:34.000Z","3370","42","16","128","1711248631","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","2.6407768726348877","0.8998909592628479","0.7084877490997314","0.01804133504629135","3.5895613462497025","0.8737931251525879","49152","0.14726407825946808"
"rosy-glitter-90","1711248640","1","1","0","finished","-","","","2024-03-24T02:50:42.000Z","2238","42","16","128","1711248599","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","2.637997627258301","0.8916399478912354","1.0457768440246582","0.016370024532079697","3.616725470469548","1.2862632274627686","32768","0.22411634027957916"
